platform,has_profile_pic,bio_length,username_randomness,followers,following,follower_following_ratio,account_age_days,posts,posts_per_day,caption_similarity_score,content_similarity_score,follow_unfollow_rate,spam_comments_rate,generic_comment_rate,suspicious_links_in_bio,verified,is_fake,username,username_length,digits_count,digit_ratio,special_char_count,repeat_char_count
X,1.0,222.0,1.0,366.0,729.0,0.5013698630136987,,193.0,0.0494111623143881,0.8511996109485862,0.3354983181938282,470.0,187.0,,1.0,1.0,1,user_498068,11,6,0.5454545454545454,1,0
Instagram,1.0,118.0,0.0,,,0.6052631578947368,2489.0,,0.0815261044176706,0.0783552805476346,0.5131766685939557,,137.0,13.0,0.0,1.0,1,jolxy2274,9,4,0.4444444444444444,0,1
X,0.0,56.0,1.0,397.0,753.0,0.5265251989389921,3667.0,211.0,,,0.9093622946827356,5.0,167.0,23.0,0.0,1.0,0,suresh1009,10,4,0.4,0,1
Facebook,1.0,7.0,1.0,406.0,,0.5726375176304654,1758.0,194.0,0.1102899374644684,0.6734680717201794,0.3500359705062783,378.0,1.0,92.0,1.0,0.0,0,amina_1412,10,4,0.4,1,0
Instagram,0.0,206.0,0.0,,702.0,0.5789473684210527,4978.0,189.0,0.0379594296043382,0.5072575508080298,0.335872862469788,362.0,44.0,24.0,0.0,0.0,0,anastasia5003,13,4,0.3076923076923077,0,1
,0.0,94.0,,361.0,726.0,0.4965612104539202,1879.0,185.0,0.0984042553191489,0.8813783269715362,0.8197568413126988,343.0,154.0,133.0,0.0,0.0,0,sarah8441,9,4,0.4444444444444444,0,1
Facebook,1.0,116.0,0.0,383.0,729.0,0.5246575342465754,2533.0,183.0,0.0722178374112075,0.0392979527879159,0.3187565229167699,494.0,52.0,128.0,1.0,1.0,0,ali,3,0,0.0,0,0
Facebook,1.0,221.0,1.0,357.0,728.0,0.4897119341563786,3515.0,208.0,0.0591581342434584,0.6494075194997302,,,136.0,86.0,0.0,1.0,0,nikolai.1168,12,4,0.3333333333333333,1,1
Facebook,,,1.0,403.0,695.0,0.5790229885057471,3774.0,,,0.4774654706271248,0.1809449542374949,405.0,102.0,32.0,0.0,1.0,0,valentina1767,13,4,0.3076923076923077,0,0
Instagram,0.0,19.0,0.0,352.0,705.0,0.4985835694050991,2079.0,202.0,0.0971153846153846,0.1543118234676509,0.948800250796301,197.0,128.0,141.0,0.0,1.0,0,mateo_3352,10,4,0.4,1,1
Instagram,1.0,123.0,,392.0,730.0,0.5362517099863201,4662.0,175.0,0.0375294874544284,0.7432519071125935,0.9332927925777214,499.0,160.0,55.0,0.0,0.0,0,sofia,5,0,0.0,0,0
Facebook,1.0,230.0,1.0,,702.0,0.5490753911806543,2058.0,175.0,,0.4113068554060239,0.2248120907781478,,37.0,27.0,,0.0,0,giulia.4710,11,4,0.3636363636363636,1,0
Facebook,0.0,52.0,1.0,409.0,649.0,0.6292307692307693,678.0,224.0,0.3298969072164948,,0.5535018730986858,317.0,56.0,,1.0,,0,yumi5279,8,4,0.5,0,0
Instagram,1.0,118.0,0.0,379.0,707.0,0.5353107344632768,,,0.0394098625707356,0.9672660663631084,0.1373681004230028,169.0,,22.0,0.0,0.0,0,lucas_8674,10,4,0.4,1,0
Instagram,1.0,11.0,,373.0,697.0,0.5343839541547278,2975.0,219.0,,0.4862300810251886,0.6746776285115358,,175.0,37.0,0.0,1.0,1,user_224490,11,6,0.5454545454545454,1,2
Instagram,1.0,176.0,1.0,346.0,693.0,0.4985590778097982,285.0,210.0,0.7342657342657343,0.8233728655586428,0.1853057960098106,248.0,2.0,42.0,1.0,1.0,0,anna6531,8,4,0.5,0,1
X,0.0,16.0,1.0,434.0,724.0,0.5986206896551725,2201.0,207.0,0.0940054495912806,0.7695775233412443,0.0497904229216039,149.0,31.0,9.0,1.0,0.0,0,camila.6627,11,4,0.3636363636363636,1,1
X,0.0,63.0,1.0,427.0,681.0,0.626099706744868,4467.0,199.0,0.0445389435989256,0.662754591513799,0.8248968072087993,209.0,148.0,26.0,1.0,0.0,0,mia_2231,8,4,0.5,1,1
X,0.0,41.0,0.0,438.0,730.0,0.5991792065663475,1841.0,186.0,0.1009771986970684,0.8968121433503337,0.3254003827236257,399.0,67.0,135.0,0.0,1.0,0,leo_5885,8,4,0.5,1,1
Facebook,1.0,93.0,0.0,,678.0,0.6215022091310751,1879.0,198.0,0.1053191489361702,0.2516016469371809,0.108522403560097,227.0,144.0,84.0,1.0,1.0,0,layla_3607,10,4,0.4,1,0
X,1.0,156.0,0.0,426.0,711.0,0.598314606741573,1611.0,,0.1209677419354838,,,243.0,169.0,12.0,0.0,0.0,0,ahmed,5,0,0.0,0,0
Facebook,0.0,146.0,0.0,391.0,677.0,0.5766961651917404,3963.0,,0.0532290615539858,0.3777874883973425,0.7623974775461484,,67.0,57.0,1.0,0.0,0,alex,4,0,0.0,0,0
Facebook,,237.0,,385.0,739.0,0.5202702702702703,4237.0,180.0,0.0424728645587541,0.8124908900812213,0.6837584504319681,119.0,83.0,,1.0,0.0,1,user_960793,11,6,0.5454545454545454,1,0
X,0.0,10.0,0.0,371.0,,,3160.0,224.0,0.0708636507434356,0.493788684545511,,292.0,11.0,99.0,0.0,1.0,1,user_598434,11,6,0.5454545454545454,1,0
Facebook,1.0,97.0,,387.0,722.0,0.5352697095435685,3499.0,201.0,0.0574285714285714,0.8577092529432359,0.4892260868706352,,44.0,,1.0,0.0,1,mglhm3216,9,4,0.4444444444444444,0,0
X,0.0,177.0,,394.0,701.0,0.5612535612535613,2132.0,194.0,0.0909517112048757,0.8948435376929863,0.1280564975867977,407.0,163.0,4.0,,0.0,0,martin4797,10,4,0.4,0,0
X,0.0,70.0,,390.0,686.0,0.5676855895196506,3315.0,201.0,0.0606151990349819,0.5976438756841155,0.0613464098951195,124.0,79.0,21.0,1.0,0.0,0,leo3972,7,4,0.5714285714285714,0,0
Instagram,1.0,107.0,1.0,424.0,716.0,0.5913528591352859,1379.0,181.0,0.131159420289855,0.5076269568312449,0.3184410179596586,466.0,178.0,65.0,0.0,1.0,1,600yzubmr6,10,4,0.4,0,1
,1.0,,1.0,393.0,732.0,0.5361527967257844,3078.0,228.0,0.0740500162390386,0.7832801433323342,0.0868308301374162,241.0,134.0,,,0.0,0,haruto,6,0,0.0,0,0
Instagram,1.0,33.0,0.0,433.0,730.0,0.5923392612859097,3015.0,,0.0722811671087533,0.2669862031791733,0.5355094403470854,211.0,160.0,39.0,0.0,0.0,0,mina,4,0,0.0,0,0
X,0.0,19.0,1.0,,712.0,0.5371669004207573,3893.0,189.0,0.0485362095531587,0.0153486812489144,0.0144990178231578,474.0,47.0,87.0,0.0,0.0,0,dmitri_9397,11,4,0.3636363636363636,1,0
X,1.0,49.0,,393.0,708.0,0.5543018335684062,1716.0,179.0,0.1042516016307513,0.4070945827547695,0.4437633015093759,16.0,193.0,121.0,1.0,0.0,0,priya.3283,10,4,0.4,1,0
Instagram,1.0,101.0,1.0,422.0,,0.6107091172214182,453.0,186.0,0.4096916299559471,0.5077741328967769,0.1784602898535854,15.0,32.0,4.0,1.0,1.0,1,pusyrcnpxc,10,0,0.0,0,0
Instagram,,215.0,1.0,418.0,703.0,0.59375,,200.0,0.5830903790087464,0.2972627194387565,0.3682680438671581,384.0,83.0,143.0,1.0,0.0,0,leo_4245,8,4,0.5,1,0
X,1.0,137.0,0.0,429.0,686.0,0.6244541484716157,393.0,180.0,0.4568527918781725,0.3833618817377674,0.6750340747706891,340.0,100.0,116.0,1.0,1.0,1,srw5pvv8e5,10,3,0.3,0,1
Facebook,0.0,159.0,,395.0,689.0,0.572463768115942,1270.0,199.0,,,0.3509637710507015,,154.0,14.0,1.0,0.0,0,pablo.2068,10,4,0.4,1,0
Instagram,0.0,,1.0,392.0,723.0,0.5414364640883977,3051.0,215.0,0.0704456094364351,,0.3413398872002152,474.0,46.0,74.0,1.0,0.0,0,leo3140,7,4,0.5714285714285714,0,0
Facebook,1.0,14.0,1.0,,708.0,0.5768688293370945,4060.0,214.0,0.0526963802019207,0.2400953479145735,0.990750732839502,256.0,84.0,79.0,0.0,0.0,0,martin,6,0,0.0,0,0
,1.0,228.0,1.0,402.0,691.0,0.5809248554913294,971.0,202.0,0.2078189300411522,0.3009868538267701,0.7188147227262862,285.0,,17.0,1.0,0.0,0,michael_9267,12,4,0.3333333333333333,1,0
Facebook,1.0,83.0,0.0,384.0,679.0,0.5647058823529412,2206.0,196.0,0.088808337109198,0.2990541105406524,,467.0,42.0,101.0,1.0,0.0,1,qne8say38b,10,3,0.3,0,0
,1.0,130.0,1.0,377.0,,0.5669172932330827,4795.0,207.0,,0.5589683710476134,0.5793756509975795,,79.0,131.0,0.0,0.0,1,bot_fh2ti,9,1,0.1111111111111111,1,0
Facebook,1.0,36.0,1.0,385.0,707.0,0.5437853107344632,166.0,206.0,1.233532934131736,0.2505969401960727,0.6201826315188109,45.0,146.0,52.0,1.0,1.0,1,vrkxc6047,9,4,0.4444444444444444,0,0
Instagram,1.0,125.0,0.0,398.0,677.0,0.5870206489675516,255.0,222.0,0.8671875,0.9409612633398884,0.0245753989408419,257.0,195.0,57.0,,1.0,1,acc_y2j3keze,12,2,0.1666666666666667,1,1
Facebook,0.0,248.0,1.0,,722.0,0.5089903181189488,302.0,176.0,0.5808580858085809,0.5112748303633349,0.0802645905252475,142.0,137.0,111.0,0.0,1.0,0,yusuf7523,9,4,0.4444444444444444,0,0
X,0.0,,1.0,396.0,725.0,0.5454545454545454,3104.0,211.0,0.0679549114331723,0.1289660064097674,0.6491893513566518,284.0,21.0,84.0,,1.0,1,user_284324,11,6,0.5454545454545454,1,0
X,1.0,71.0,1.0,412.0,721.0,0.5706371191135734,3841.0,200.0,0.0520562207183758,,0.3644688588483137,354.0,193.0,,1.0,1.0,0,ashley.4268,11,4,0.3636363636363636,1,0
Instagram,0.0,39.0,1.0,407.0,704.0,0.577304964539007,2557.0,190.0,0.0742767787333854,0.729757496135654,0.055444040231925,317.0,,57.0,0.0,0.0,0,priya.1316,10,4,0.4,1,0
X,1.0,235.0,,,,0.5767575322812052,1506.0,221.0,,0.0136590383807274,0.2975132460516261,12.0,107.0,115.0,1.0,0.0,0,dmitri_6896,11,4,0.3636363636363636,1,0
X,0.0,55.0,1.0,384.0,,0.5217391304347826,1257.0,208.0,,0.937817986196951,0.1302834204213901,466.0,,58.0,0.0,0.0,0,kiran,5,0,0.0,0,0
Facebook,,,0.0,424.0,691.0,,2263.0,177.0,0.0781802120141342,0.4451769217258061,0.9163138422263212,320.0,17.0,29.0,0.0,0.0,0,carlos,6,0,0.0,0,0
Instagram,0.0,103.0,1.0,386.0,758.0,0.5085638998682477,4341.0,,0.0442192538000921,0.5210790229509967,0.202925392553115,44.0,,67.0,0.0,1.0,0,leo2430,7,4,0.5714285714285714,0,0
Facebook,1.0,138.0,1.0,413.0,,0.6038011695906432,210.0,189.0,,0.988412235839528,0.1436911973940524,46.0,18.0,74.0,1.0,1.0,1,dgocm5622,9,4,0.4444444444444444,0,1
Facebook,0.0,109.0,1.0,436.0,682.0,,3794.0,,0.0498023715415019,0.5034030859993316,0.6261688170886166,15.0,,67.0,,0.0,0,kiran.8539,10,4,0.4,1,0
Facebook,1.0,,0.0,392.0,749.0,0.5226666666666666,4522.0,182.0,0.0402387795710811,0.9477439944619724,0.5219119302768327,381.0,,130.0,0.0,0.0,0,kojo.2246,9,4,0.4444444444444444,1,1
Facebook,,135.0,1.0,383.0,697.0,0.5487106017191977,3048.0,203.0,0.0665792062971466,0.9152311157931542,0.575932454035792,106.0,26.0,56.0,1.0,1.0,0,yuki.9276,9,4,0.4444444444444444,1,0
Facebook,0.0,92.0,1.0,378.0,,0.543884892086331,981.0,194.0,0.1975560081466395,0.9413155286662128,0.4359481480403152,2.0,,40.0,0.0,1.0,0,jessica.4446,12,4,0.3333333333333333,1,2
Facebook,0.0,93.0,0.0,373.0,666.0,0.5592203898050975,2120.0,221.0,0.1041961338991041,0.8123730574923639,0.4671693109321295,103.0,158.0,3.0,0.0,0.0,1,user_520976,11,6,0.5454545454545454,1,0
Facebook,0.0,55.0,0.0,403.0,752.0,0.5351925630810093,3746.0,193.0,0.0515078729650387,0.2963980845577312,0.7787975558471295,453.0,171.0,38.0,1.0,1.0,0,giulia_1309,11,4,0.3636363636363636,1,0
Instagram,0.0,59.0,,390.0,662.0,0.5882352941176471,178.0,183.0,1.022346368715084,0.3463824837859814,,94.0,137.0,108.0,0.0,0.0,1,acc_mz1zscae,12,1,0.08333333333333333,1,1
,1.0,137.0,0.0,400.0,724.0,0.5517241379310345,1547.0,194.0,0.1253229974160206,0.3649840681806409,0.3965293028312341,132.0,148.0,105.0,0.0,0.0,1,acc_bqbre9qg,12,1,0.08333333333333333,1,1
Facebook,,38.0,1.0,415.0,695.0,0.5962643678160919,2035.0,189.0,0.0928290766208251,0.9791808396121952,0.9578253849279492,409.0,174.0,,1.0,1.0,0,pablo,5,0,0.0,0,0
Facebook,0.0,27.0,1.0,353.0,706.0,0.4992927864214992,,182.0,0.6066666666666667,0.3607555039721486,0.1899857011860451,347.0,,10.0,0.0,1.0,0,oliver.4394,11,4,0.3636363636363636,1,0
Facebook,,48.0,,398.0,685.0,0.5801749271137027,2568.0,205.0,0.0797975866095757,,0.293773595041867,,122.0,10.0,0.0,0.0,1,acc_bjyxow1w,12,1,0.08333333333333333,1,1
Facebook,0.0,163.0,1.0,385.0,705.0,0.5453257790368272,3567.0,202.0,0.0566143497757847,0.7783288946351516,0.1915669242859905,200.0,,53.0,,1.0,1,acc_i0cf4fk2,12,3,0.25,1,1
Facebook,0.0,124.0,,,684.0,0.5766423357664233,,206.0,0.0509774808215788,0.3660632915820525,0.0204954963581356,253.0,163.0,19.0,0.0,1.0,1,bot_pmn9g,9,1,0.1111111111111111,1,0
Facebook,1.0,12.0,,374.0,709.0,,275.0,,0.7898550724637681,0.6209359117258434,0.2698299250416703,182.0,,127.0,0.0,0.0,1,zzfkv8974,9,4,0.4444444444444444,0,1
X,0.0,223.0,1.0,403.0,746.0,0.5394912985274432,2996.0,,0.0694027360694027,,0.0464674459622391,,73.0,75.0,1.0,0.0,0,omar2562,8,4,0.5,0,0
X,1.0,35.0,1.0,422.0,746.0,,53.0,195.0,3.611111111111111,0.5755055767780443,0.1546851264066333,36.0,,118.0,0.0,0.0,0,riya.480,8,3,0.375,1,0
Facebook,0.0,100.0,1.0,403.0,688.0,0.5849056603773585,1424.0,202.0,0.1417543859649122,0.637700178357888,0.3626820700676146,468.0,146.0,13.0,1.0,1.0,0,kojo_6211,9,4,0.4444444444444444,1,1
X,1.0,25.0,0.0,433.0,682.0,0.6339677891654466,1628.0,213.0,0.1307550644567219,0.642862564465136,0.0207212170689582,489.0,191.0,122.0,1.0,,1,xrzwg2209,9,4,0.4444444444444444,0,1
,0.0,85.0,1.0,,,0.5933734939759037,489.0,207.0,0.4224489795918367,0.6123991857585153,,412.0,109.0,,1.0,0.0,0,jose,4,0,0.0,0,0
Facebook,0.0,3.0,1.0,398.0,730.0,0.5444596443228454,2355.0,202.0,0.0857385398981324,0.1597693774809541,0.7955890137695468,409.0,137.0,105.0,1.0,0.0,0,omar,4,0,0.0,0,0
Instagram,1.0,222.0,1.0,,719.0,0.5458333333333333,417.0,207.0,0.4952153110047846,0.4564154147487554,0.4114138024183629,325.0,48.0,105.0,0.0,1.0,0,sofia.3980,10,4,0.4,1,0
Instagram,0.0,81.0,0.0,422.0,756.0,0.5574636723910171,2557.0,214.0,0.0836591086786552,0.0076640199770584,0.9846659793742694,138.0,181.0,102.0,1.0,1.0,0,tao_4541,8,4,0.5,1,0
Facebook,0.0,191.0,0.0,398.0,694.0,0.5726618705035971,921.0,,0.220173535791757,0.6262648040753331,0.6789939148076991,99.0,60.0,9.0,0.0,0.0,0,jessica.9053,12,4,0.3333333333333333,1,1
X,0.0,165.0,1.0,382.0,745.0,0.5120643431635389,,195.0,0.1254019292604501,,0.743721747980749,403.0,186.0,,0.0,1.0,1,acc_d5tlfk6m,12,2,0.1666666666666667,1,1
Instagram,1.0,126.0,1.0,405.0,716.0,0.5648535564853556,2686.0,198.0,0.0736881280238183,0.318137219240821,0.1923004236661334,235.0,129.0,132.0,1.0,1.0,0,fatima_503,10,3,0.3,1,0
Facebook,,,1.0,425.0,677.0,0.6268436578171092,666.0,226.0,0.3388305847076461,0.5238955031702037,0.8374376228217134,83.0,74.0,21.0,,0.0,1,spwac3109,9,4,0.4444444444444444,0,0
Instagram,0.0,126.0,0.0,391.0,708.0,0.5514809590973202,4102.0,207.0,0.0504508895929807,0.4930577819080767,0.945046398021506,346.0,,,1.0,1.0,0,haruto,6,0,0.0,0,0
Instagram,1.0,,1.0,420.0,709.0,,2470.0,178.0,0.0720356131121003,0.2509152159422512,,453.0,146.0,28.0,0.0,1.0,0,hans3664,8,4,0.5,0,1
Instagram,1.0,214.0,1.0,419.0,738.0,0.5669824086603519,1475.0,209.0,,0.2932875480925929,0.6864642943863801,32.0,195.0,134.0,0.0,0.0,1,user_789363,11,6,0.5454545454545454,1,0
Instagram,1.0,21.0,1.0,380.0,,0.547550432276657,338.0,217.0,0.640117994100295,0.7625409966287506,0.7469410486633313,,141.0,145.0,0.0,1.0,1,uxdew9558,9,4,0.4444444444444444,0,1
X,0.0,129.0,0.0,,707.0,0.519774011299435,3160.0,177.0,0.0559949383106611,0.7557323191817289,0.305169171809549,29.0,21.0,34.0,1.0,,0,yuki,4,0,0.0,0,0
Instagram,0.0,30.0,,,748.0,0.4819759679572764,269.0,188.0,0.6962962962962963,0.4697821502398424,0.4750090025722964,433.0,16.0,70.0,0.0,1.0,1,acc_v20we8sp,12,3,0.25,1,1
Instagram,0.0,118.0,1.0,,701.0,0.5783475783475783,1088.0,212.0,,0.7175089524159796,0.0975390935807241,33.0,106.0,93.0,1.0,1.0,0,ananya3565,10,4,0.4,0,0
Instagram,1.0,10.0,0.0,394.0,651.0,0.6042944785276073,1294.0,215.0,,0.4508012802309361,0.1730948039595079,132.0,62.0,3.0,1.0,1.0,0,nikolai_606,11,3,0.2727272727272727,1,0
,0.0,219.0,0.0,383.0,743.0,,,204.0,0.3100303951367781,0.8513740348961321,0.0615705236471947,207.0,121.0,,0.0,0.0,0,valentina,9,0,0.0,0,0
Instagram,,45.0,1.0,376.0,698.0,0.5379113018597997,2829.0,193.0,0.0681978798586572,0.3328066822086133,0.5601654905452937,139.0,25.0,93.0,1.0,0.0,0,layla_4279,10,4,0.4,1,0
,1.0,95.0,0.0,438.0,708.0,0.6177715091678421,3974.0,198.0,0.0498113207547169,,0.6252628972772694,75.0,163.0,29.0,0.0,,0,tao.2668,8,4,0.5,1,1
X,,189.0,1.0,402.0,,0.5868613138686132,,227.0,0.0457753579350675,0.5422836505646709,0.916119583433733,74.0,116.0,93.0,0.0,0.0,0,leo,3,0,0.0,0,0
X,1.0,196.0,0.0,389.0,671.0,0.5788690476190477,1337.0,184.0,0.1375186846038864,0.5356878610797507,0.5421848106236015,307.0,44.0,109.0,0.0,0.0,0,kwame,5,0,0.0,0,0
X,1.0,191.0,0.0,377.0,674.0,0.5585185185185185,2357.0,230.0,0.097540288379983,0.6708103843260437,0.2606113708080999,306.0,29.0,73.0,0.0,0.0,0,maria_8032,10,4,0.4,1,0
Instagram,1.0,,,,683.0,0.5570175438596491,1668.0,185.0,0.1108448172558418,0.3408560108146844,0.0594735465911188,404.0,115.0,141.0,1.0,,0,ananya_5383,11,4,0.3636363636363636,1,0
X,0.0,9.0,,388.0,677.0,,1826.0,203.0,0.1111111111111111,0.7243295709071343,0.8849530527508368,454.0,148.0,86.0,0.0,1.0,1,user_192537,11,6,0.5454545454545454,1,0
X,1.0,167.0,1.0,442.0,658.0,0.6707132018209409,4031.0,207.0,0.0513392857142857,0.3204251026341199,0.4788580785280534,57.0,147.0,139.0,1.0,1.0,0,oliver,6,0,0.0,0,0
Instagram,0.0,127.0,0.0,384.0,701.0,0.5470085470085471,1213.0,191.0,0.157331136738056,0.3975388299587856,,97.0,169.0,75.0,0.0,1.0,0,olga.6645,9,4,0.4444444444444444,1,1
X,0.0,237.0,,434.0,712.0,0.6086956521739131,2769.0,192.0,,0.6747034367930568,0.0146493485955889,,89.0,25.0,0.0,0.0,1,bot_kyzkj,9,0,0.0,1,0
Instagram,1.0,151.0,1.0,397.0,709.0,0.5591549295774648,4416.0,216.0,0.0489019696626669,0.3784491013013814,0.4881389226644176,447.0,118.0,133.0,1.0,1.0,0,ali.4349,8,4,0.5,1,0
Facebook,1.0,98.0,1.0,403.0,668.0,0.6023916292974589,,,0.0624183006535947,0.1999741226880607,0.3257226231664986,348.0,183.0,100.0,,0.0,0,alex632,7,3,0.4285714285714285,0,0
,1.0,,1.0,380.0,691.0,0.5491329479768786,445.0,184.0,0.4125560538116592,0.8719014587755067,0.0303312726138268,133.0,139.0,114.0,0.0,1.0,0,kwame,5,0,0.0,0,0
,0.0,111.0,1.0,398.0,702.0,0.566145092460882,1398.0,219.0,0.1565403859899928,,0.7756728070724583,483.0,7.0,142.0,0.0,1.0,0,alex,4,0,0.0,0,0
Instagram,1.0,59.0,,393.0,,0.5695652173913044,4382.0,,0.0410677618069815,0.6267310498074485,,225.0,92.0,105.0,1.0,0.0,1,bot_o79mk,9,2,0.2222222222222222,1,0
X,,189.0,1.0,383.0,681.0,0.5615835777126099,2219.0,206.0,0.0927927927927927,0.8111507711978535,0.3331802429911309,432.0,,102.0,0.0,1.0,1,djrnmbhv56,10,2,0.2,0,0
Instagram,1.0,86.0,1.0,403.0,699.0,0.5757142857142857,3677.0,197.0,0.0535617183251767,0.986652354774753,0.8057984839073993,,190.0,146.0,0.0,0.0,0,layla_2859,10,4,0.4,1,0
Facebook,1.0,144.0,,390.0,691.0,0.5635838150289018,2311.0,,,0.6147747518198258,0.4469234518501664,36.0,55.0,103.0,0.0,1.0,1,user_498606,11,6,0.5454545454545454,1,0
Instagram,1.0,64.0,1.0,399.0,675.0,0.5902366863905325,,194.0,0.0479960415635823,0.9087926432500136,,137.0,,76.0,1.0,0.0,1,3lqmnclmni,10,1,0.1,0,0
X,0.0,246.0,1.0,,695.0,0.5330459770114943,3607.0,200.0,0.0554323725055432,0.3592547497203476,0.9444476320383256,207.0,,94.0,1.0,0.0,0,chen_3395,9,4,0.4444444444444444,1,1
X,0.0,222.0,1.0,399.0,706.0,0.5643564356435643,1828.0,,0.1148168398031711,0.7004724358871861,,193.0,120.0,106.0,1.0,,1,bot_dd5w5,9,2,0.2222222222222222,1,1
Facebook,0.0,222.0,1.0,423.0,675.0,0.6257396449704142,3220.0,228.0,0.0707854703508227,0.0558054662968463,0.8305755220633414,,60.0,111.0,1.0,1.0,0,arjun.5784,10,4,0.4,1,0
Instagram,1.0,233.0,1.0,397.0,731.0,0.5423497267759563,4689.0,217.0,,0.7889715556101449,0.816415384081273,338.0,137.0,51.0,0.0,1.0,1,acc_bmw0hv3n,12,2,0.1666666666666667,1,1
X,1.0,,0.0,400.0,,0.5457025920873124,4512.0,215.0,0.0476401506758253,0.8298031447295674,0.1623739313607313,326.0,49.0,17.0,1.0,0.0,1,csumr6515,9,4,0.4444444444444444,0,0
Facebook,,182.0,0.0,,730.0,0.518467852257182,2073.0,196.0,,,0.4740026812147766,321.0,147.0,56.0,1.0,0.0,0,yusuf,5,0,0.0,0,0
X,0.0,105.0,0.0,376.0,687.0,0.5465116279069767,,199.0,0.0474827010260081,0.6389550158773296,,300.0,27.0,32.0,1.0,0.0,0,dmitri.5623,11,4,0.3636363636363636,1,0
X,1.0,180.0,1.0,409.0,724.0,,2331.0,,0.1016295025728988,0.8583611023923586,,86.0,141.0,103.0,1.0,1.0,0,layla,5,0,0.0,0,0
Instagram,1.0,183.0,0.0,415.0,789.0,0.5253164556962026,686.0,178.0,0.2590975254730713,0.8836081645090502,0.73097884336962,94.0,,131.0,0.0,0.0,0,valentina.8351,14,4,0.2857142857142857,1,0
X,1.0,225.0,1.0,406.0,650.0,0.6236559139784946,4959.0,170.0,,0.1065315243166009,0.2370694701103576,195.0,,18.0,0.0,1.0,1,5avf28x26e,10,5,0.5,0,0
Instagram,0.0,8.0,1.0,401.0,,0.5778097982708934,685.0,187.0,0.2725947521865889,0.8274877465328974,0.1171279307423099,191.0,134.0,6.0,1.0,1.0,1,cfdnz6318,9,4,0.4444444444444444,0,0
X,1.0,21.0,1.0,408.0,708.0,0.5754583921015515,2938.0,197.0,0.06702960190541,0.2742433519261003,0.5071235509350089,143.0,4.0,25.0,1.0,1.0,0,daniel_6972,11,4,0.3636363636363636,1,0
Facebook,,140.0,0.0,408.0,695.0,0.5862068965517241,3712.0,210.0,,0.7273068963377434,0.5369863843736321,9.0,0.0,86.0,1.0,0.0,0,camila3128,10,4,0.4,0,0
X,1.0,88.0,0.0,,648.0,0.6363636363636364,341.0,193.0,,0.3251641534925553,0.6758289313211581,240.0,110.0,97.0,1.0,1.0,0,martin_8186,11,4,0.3636363636363636,1,0
Instagram,,175.0,0.0,401.0,694.0,0.576978417266187,4700.0,212.0,0.0450967879174643,0.0563296706305771,0.7591377468025907,,72.0,135.0,0.0,0.0,0,hans935,7,3,0.4285714285714285,0,0
Instagram,,17.0,1.0,397.0,711.0,0.5575842696629213,,199.0,0.2707482993197279,0.2098707098511075,0.6958095312646552,475.0,105.0,140.0,,0.0,0,leo_6306,8,4,0.5,1,0
